category,subcategory,url,product_count
게임,게임 개발,https://www.yes24.com/product/category/display/001001003027003,718
게임,게임 기획,https://www.yes24.com/product/category/display/001001003027002,390
게임,모바일 게임,https://www.yes24.com/product/category/display/001001003027005,73
게임,게임가이드북/화보집,https://www.yes24.com/product/category/display/001001003027004,721
그래픽/디자인/멀티미디어,포토샵,https://www.yes24.com/product/category/display/001001003028012,1177
그래픽/디자인/멀티미디어,일러스트레이터,https://www.yes24.com/product/category/display/001001003028009,395
그래픽/디자인/멀티미디어,프리미어,https://www.yes24.com/product/category/display/001001003028013,189
그래픽/디자인/멀티미디어,애프터이펙트,https://www.yes24.com/product/category/display/001001003028015,147
그래픽/디자인/멀티미디어,3DS/MAX,https://www.yes24.com/product/category/display/001001003028001,652
그래픽/디자인/멀티미디어,건축CG,https://www.yes24.com/product/category/display/001001003028002,234
그래픽/디자인/멀티미디어,그래픽일반/자료집,https://www.yes24.com/product/category/display/001001003028003,999
그래픽/디자인/멀티미디어,그래픽툴/저작툴 기타,https://www.yes24.com/product/category/display/001001003028004,974
그래픽/디자인/멀티미디어,디렉터,https://www.yes24.com/product/category/display/001001003028005,71
그래픽/디자인/멀티미디어,라이트룸,https://www.yes24.com/product/category/display/001001003028006,34
그래픽/디자인/멀티미디어,베가스,https://www.yes24.com/product/category/display/001001003028007,42
그래픽/디자인/멀티미디어,인디자인,https://www.yes24.com/product/category/display/001001003028008,74
그래픽/디자인/멀티미디어,캐릭터/애니메이션,https://www.yes24.com/product/category/display/001001003028010,241
그래픽/디자인/멀티미디어,페인터,https://www.yes24.com/product/category/display/001001003028011,45
그래픽/디자인/멀티미디어,플래시,https://www.yes24.com/product/category/display/001001003028014,389
그래픽/디자인/멀티미디어,AUTOCAD,https://www.yes24.com/product/category/display/001001003028016,1315
그래픽/디자인/멀티미디어,멀티미디어/컴퓨터 음악/영상,https://www.yes24.com/product/category/display/001001003028017,445
그래픽/디자인/멀티미디어,디지털 카메라,https://www.yes24.com/product/category/display/001001003028018,291
네트워크/해킹/보안,네트워크 일반,https://www.yes24.com/product/category/display/001001003024001,1615
네트워크/해킹/보안,TCP/IP,https://www.yes24.com/product/category/display/001001003024002,67
네트워크/해킹/보안,보안/해킹,https://www.yes24.com/product/category/display/001001003024003,913
모바일 프로그래밍,아이폰,https://www.yes24.com/product/category/display/001001003023001,260
모바일 프로그래밍,안드로이드폰,https://www.yes24.com/product/category/display/001001003023002,464
모바일 프로그래밍,윈도우폰,https://www.yes24.com/product/category/display/001001003023003,24
모바일 프로그래밍,모바일 게임,https://www.yes24.com/product/category/display/001001003023004,67
모바일/태블릿/SNS,아이패드,https://www.yes24.com/product/category/display/001001003021001,133
모바일/태블릿/SNS,아이폰,https://www.yes24.com/product/category/display/001001003021002,186
모바일/태블릿/SNS,안드로이드태블릿,https://www.yes24.com/product/category/display/001001003021003,53
모바일/태블릿/SNS,안드로이드폰,https://www.yes24.com/product/category/display/001001003021004,284
모바일/태블릿/SNS,트위터,https://www.yes24.com/product/category/display/001001003021005,30
모바일/태블릿/SNS,페이스북,https://www.yes24.com/product/category/display/001001003021006,58
모바일/태블릿/SNS,유튜브,https://www.yes24.com/product/category/display/001001003021007,164
모바일/태블릿/SNS,앱가이드,https://www.yes24.com/product/category/display/001001003021008,138
오피스 활용,MS Excel(엑셀),https://www.yes24.com/product/category/display/001001003029002,1372
오피스 활용,MS PowerPoint(파워포인트),https://www.yes24.com/product/category/display/001001003029003,941
오피스 활용,MS Word(워드),https://www.yes24.com/product/category/display/001001003029004,241
오피스 활용,MS Access(액세스),https://www.yes24.com/product/category/display/001001003029005,134
오피스 활용,MS Outlook(아웃룩),https://www.yes24.com/product/category/display/001001003029006,27
오피스 활용,MS Office,https://www.yes24.com/product/category/display/001001003029008,176
오피스 활용,프레젠테이션,https://www.yes24.com/product/category/display/001001003029007,977
오피스 활용,한글,https://www.yes24.com/product/category/display/001001003029001,788
웹사이트,HTML/JavaScript/CSS/jQuery,https://www.yes24.com/product/category/display/001001003020001,594
웹사이트,웹디자인,https://www.yes24.com/product/category/display/001001003020002,408
웹사이트,웹기획,https://www.yes24.com/product/category/display/001001003020003,412
웹사이트,UI/UX,https://www.yes24.com/product/category/display/001001003020004,364
웹사이트,블로그/홈페이지 만들기,https://www.yes24.com/product/category/display/001001003020005,960
인공지능,인공지능 일반,https://www.yes24.com/product/category/display/001001003032004,1451
인공지능,머신러닝/딥러닝,https://www.yes24.com/product/category/display/001001003032002,426
인공지능,생성형 AI,https://www.yes24.com/product/category/display/001001003032003,371
인공지능,데이터 과학,https://www.yes24.com/product/category/display/001001003032001,115
인공지능,자연어 처리(NLP),https://www.yes24.com/product/category/display/001001003032005,36
인터넷 비즈니스,쇼핑몰/창업,https://www.yes24.com/product/category/display/001001003026001,668
인터넷 비즈니스,인터넷 마케팅,https://www.yes24.com/product/category/display/001001003026002,342
인터넷 비즈니스,공공정책/자료,https://www.yes24.com/product/category/display/001001003026003,198
컴퓨터 공학,컴퓨터 교육,https://www.yes24.com/product/category/display/001001003031001,827
컴퓨터 공학,네트워크/데이터 통신,https://www.yes24.com/product/category/display/001001003031002,1189
컴퓨터 공학,마이크로 프로세서,https://www.yes24.com/product/category/display/001001003031003,476
컴퓨터 공학,소프트웨어 공학,https://www.yes24.com/product/category/display/001001003031004,1123
컴퓨터 공학,블록체인,https://www.yes24.com/product/category/display/001001003031015,104
컴퓨터 공학,자료구조/알고리즘,https://www.yes24.com/product/category/display/001001003031005,951
컴퓨터 공학,전산수학(SPSS/MATLAB),https://www.yes24.com/product/category/display/001001003031006,81
컴퓨터 공학,정보통신 공학,https://www.yes24.com/product/category/display/001001003031007,211
컴퓨터 공학,취미 공학,https://www.yes24.com/product/category/display/001001003031008,196
컴퓨터 공학,인공지능,https://www.yes24.com/product/category/display/001001003031009,1372
컴퓨터 공학,컴퓨터구조 일반,https://www.yes24.com/product/category/display/001001003031010,434
컴퓨터 공학,운영체제 일반,https://www.yes24.com/product/category/display/001001003031011,182
컴퓨터 공학,데이터베이스 일반,https://www.yes24.com/product/category/display/001001003031012,579
컴퓨터 공학,개발방법론,https://www.yes24.com/product/category/display/001001003031013,1318
컴퓨터 수험서,컴퓨터활용능력,https://www.yes24.com/product/category/display/001001003030001,713
컴퓨터 수험서,워드프로세서,https://www.yes24.com/product/category/display/001001003030002,365
컴퓨터 수험서,그래픽 관련,https://www.yes24.com/product/category/display/001001003030003,637
컴퓨터 수험서,정보처리/보안,https://www.yes24.com/product/category/display/001001003030010,876
컴퓨터 수험서,사무자동화,https://www.yes24.com/product/category/display/001001003030004,159
컴퓨터 수험서,데이터자격검정,https://www.yes24.com/product/category/display/001001003030012,20
컴퓨터 수험서,ITQ,https://www.yes24.com/product/category/display/001001003030006,1030
컴퓨터 수험서,DIAT,https://www.yes24.com/product/category/display/001001003030005,276
컴퓨터 수험서,MOS,https://www.yes24.com/product/category/display/001001003030007,238
컴퓨터 수험서,ICDL,https://www.yes24.com/product/category/display/001001003030008,28
컴퓨터 수험서,상공회의소,https://www.yes24.com/product/category/display/001001003030009,312
컴퓨터 수험서,신규자격증/기타,https://www.yes24.com/product/category/display/001001003030011,1171
컴퓨터 입문/활용,어른을 위한 컴퓨터,https://www.yes24.com/product/category/display/001001003019001,1503
컴퓨터 입문/활용,어린이 컴퓨터,https://www.yes24.com/product/category/display/001001003019002,1136
컴퓨터 입문/활용,윈도우 입문서/활용,https://www.yes24.com/product/category/display/001001003019004,712
컴퓨터 입문/활용,인터넷 입문서,https://www.yes24.com/product/category/display/001001003019003,882
컴퓨터 입문/활용,컴퓨터 조립/수리,https://www.yes24.com/product/category/display/001001003019005,137
프로그래밍 언어,자바,https://www.yes24.com/product/category/display/001001003022003,1003
프로그래밍 언어,C,https://www.yes24.com/product/category/display/001001003022007,966
프로그래밍 언어,C++,https://www.yes24.com/product/category/display/001001003022009,567
프로그래밍 언어,JavaScript/CGI,https://www.yes24.com/product/category/display/001001003022010,503
프로그래밍 언어,파이썬,https://www.yes24.com/product/category/display/001001003022004,1264
프로그래밍 언어,프로그래밍 교육,https://www.yes24.com/product/category/display/001001003022018,661
프로그래밍 언어,C#,https://www.yes24.com/product/category/display/001001003022008,237
프로그래밍 언어,.NET,https://www.yes24.com/product/category/display/001001003022001,83
프로그래밍 언어,델파이,https://www.yes24.com/product/category/display/001001003022002,98
프로그래밍 언어,Ajax,https://www.yes24.com/product/category/display/001001003022005,38
프로그래밍 언어,ASP,https://www.yes24.com/product/category/display/001001003022006,183
프로그래밍 언어,JSP,https://www.yes24.com/product/category/display/001001003022011,127
프로그래밍 언어,Perl,https://www.yes24.com/product/category/display/001001003022012,17
프로그래밍 언어,PHP,https://www.yes24.com/product/category/display/001001003022013,154
프로그래밍 언어,Ruby/Rails,https://www.yes24.com/product/category/display/001001003022014,15
프로그래밍 언어,Visual Basic,https://www.yes24.com/product/category/display/001001003022015,416
프로그래밍 언어,Visual C++,https://www.yes24.com/product/category/display/001001003022016,220
프로그래밍 언어,XML,https://www.yes24.com/product/category/display/001001003022017,154
프로그래밍 언어,프로그래밍 언어 기타,https://www.yes24.com/product/category/display/001001003022019,1611
OS/데이터베이스,클라우드/빅데이터,https://www.yes24.com/product/category/display/001001003025009,1140
OS/데이터베이스,시스템관리/서버,https://www.yes24.com/product/category/display/001001003025010,728
OS/데이터베이스,리눅스,https://www.yes24.com/product/category/display/001001003025003,548
OS/데이터베이스,Oracle,https://www.yes24.com/product/category/display/001001003025007,252
OS/데이터베이스,윈도우,https://www.yes24.com/product/category/display/001001003025001,210
OS/데이터베이스,SQL Server,https://www.yes24.com/product/category/display/001001003025008,210
OS/데이터베이스,MAC OS,https://www.yes24.com/product/category/display/001001003025002,68
OS/데이터베이스,유닉스,https://www.yes24.com/product/category/display/001001003025004,195
OS/데이터베이스,Access,https://www.yes24.com/product/category/display/001001003025005,145
OS/데이터베이스,MySQL,https://www.yes24.com/product/category/display/001001003025006,120
